name_en,name_ar,id,category
El Shams Pyramids For Hotels& Touristic Projects,الشمس بيراميدز للفنادق والمنشأت السياحية,EGS70H02C014,Travel & Leisure
El Wadi For International and Investement Development,الوادى العالمية للاستثمار و التنمية,EGS70R91C016,Travel & Leisure
El-Nile Co. For Pharmaceuticals And Chemical Industries,النيل للادوية والصناعات الكيماوية - النيل,EGS38331C012,Health Care & Pharmaceuticals
El-Nile Co.For Pharmaceuticals And Chemical Industries–Nile1,حق اكتتاب شركة النيل للادوية والصناعات الكيماوية- النيل 1,EGS923Q1C013,Health Care & Pharmaceuticals
Electro Cable Egypt,الكابلات الكهربائية المصرية,EGS3G231C011,"Industrial Goods , Services and Automobiles"
Elsaeed Contracting& Real Estate Investment Company SCCD,الصعيد العامة للمقاولات والاستثمار العقاري SCCD,EGS21531C016,Real Estate
Emaar Misr for Development,إعمار مصر للتنمية,EGS673Y1C015,Real Estate
Engineering Industries (ICON),الصناعات الهندسية المعمارية للانشاء والتعمير - ايكون,EGS3F021C017,Contracting & Construction Engineering
Export Development Bank of Egypt,البنك المصري لتنمية الصادرات,EGS60241C014,Banks
Extracted Oils,الزيوت المستخلصة ومنتجاتها,EGS38251C012,"Food, Beverages and Tobacco"
Ezz Steel,حديد عز,EGS3C251C013,Basic Resources
Faisal Islamic Bank of Egypt - In EGP,بنك فيصل الاسلامي المصرية بالجنية,EGS60321C014,Banks
Faisal Islamic Bank of Egypt - In US Dollars,بنك فيصل الاسلامي المصري - بالدولار,EGS60322C012,Banks
Fawry For Banking Technology And Electronic Payment,فوري لتكنولوجيا البنوك والمدفوعات الالكترونية,EGS745L1C014,"IT , Media & Communication Services"
GB Corp,جى بى كوربوريشن,EGS673T1C012,"Industrial Goods , Services and Automobiles"
